[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.433s][info][metaspace] Reserving compressed class space anywhere
[0.433s][info][gc,metaspace] CDS archive(s) not mapped
[0.433s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffedb000000-0x00007fff9b000000, reserved size: 3221225472
[0.433s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 1narrow klass pointer bits 22, max shift 6
[0.433s][info][gc,metaspace] Narrow klass base: 0x00007ffedb000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 2048
Num Objects per Class: 32768
Cycles: 100
Class association: random
Generate 2048 classes...[1.374s][info][gc,metaspace] GC(0) Metaspace: 25327K(26496K)->25327K(26496K) NonClass: 19780K(20032K)->19780K(20032K) Class: 5547K(6464K)->5547K(6464K)
[23.591s][info][gc,metaspace] GC(19) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[23.591s][info][gc          ] GC(19) Pause Full (System.gc()) 778M->778M(6144M) 411.650ms
[24.028s][info][gc,metaspace] GC(20) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[24.028s][info][gc          ] GC(20) Pause Full (System.gc()) 778M->778M(6144M) 436.846ms
[24.455s][info][gc,metaspace] GC(21) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[24.455s][info][gc          ] GC(21) Pause Full (System.gc()) 778M->778M(6144M) 426.480ms
[24.856s][info][gc,metaspace] GC(22) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[24.856s][info][gc          ] GC(22) Pause Full (System.gc()) 778M->778M(6144M) 400.537ms
[25.276s][info][gc,metaspace] GC(23) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[25.276s][info][gc          ] GC(23) Pause Full (System.gc()) 778M->778M(6144M) 419.942ms
[25.694s][info][gc,metaspace] GC(24) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[25.694s][info][gc          ] GC(24) Pause Full (System.gc()) 778M->778M(6144M) 418.412ms
[26.099s][info][gc,metaspace] GC(25) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[26.099s][info][gc          ] GC(25) Pause Full (System.gc()) 778M->778M(6144M) 404.640ms
[26.503s][info][gc,metaspace] GC(26) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[26.503s][info][gc          ] GC(26) Pause Full (System.gc()) 778M->778M(6144M) 403.621ms
[26.956s][info][gc,metaspace] GC(27) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[26.956s][info][gc          ] GC(27) Pause Full (System.gc()) 778M->778M(6144M) 452.835ms
[27.365s][info][gc,metaspace] GC(28) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[27.365s][info][gc          ] GC(28) Pause Full (System.gc()) 778M->778M(6144M) 409.637ms
[27.758s][info][gc,metaspace] GC(29) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[27.758s][info][gc          ] GC(29) Pause Full (System.gc()) 778M->778M(6144M) 392.755ms
[28.173s][info][gc,metaspace] GC(30) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[28.173s][info][gc          ] GC(30) Pause Full (System.gc()) 778M->778M(6144M) 415.047ms
[28.571s][info][gc,metaspace] GC(31) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[28.571s][info][gc          ] GC(31) Pause Full (System.gc()) 778M->778M(6144M) 397.680ms
[28.958s][info][gc,metaspace] GC(32) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[28.958s][info][gc          ] GC(32) Pause Full (System.gc()) 778M->778M(6144M) 386.459ms
[29.367s][info][gc,metaspace] GC(33) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[29.367s][info][gc          ] GC(33) Pause Full (System.gc()) 778M->778M(6144M) 408.798ms
[29.811s][info][gc,metaspace] GC(34) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[29.811s][info][gc          ] GC(34) Pause Full (System.gc()) 778M->778M(6144M) 443.870ms
[30.229s][info][gc,metaspace] GC(35) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[30.229s][info][gc          ] GC(35) Pause Full (System.gc()) 778M->778M(6144M) 418.162ms
[30.630s][info][gc,metaspace] GC(36) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[30.631s][info][gc          ] GC(36) Pause Full (System.gc()) 778M->778M(6144M) 401.356ms
[31.024s][info][gc,metaspace] GC(37) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
