[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.419s][info][metaspace] Reserving compressed class space anywhere
[0.419s][info][gc,metaspace] CDS archive(s) not mapped
[0.419s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffedb000000-0x00007fff9b000000, reserved size: 3221225472
[0.419s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 0narrow klass pointer bits 22, max shift 10
[0.419s][info][gc,metaspace] Narrow klass base: 0x00007ffedb000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 512
Num Objects per Class: 131072
Cycles: 100
Class association: random
Generate 512 classes...[1.352s][info][gc,metaspace] GC(0) Metaspace: 22076K(22464K)->22076K(22464K) NonClass: 18265K(18496K)->18265K(18496K) Class: 3811K(3968K)->3811K(3968K)
[14.174s][info][gc,metaspace] GC(19) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[14.174s][info][gc          ] GC(19) Pause Full (System.gc()) 775M->775M(6144M) 355.847ms
[14.522s][info][gc,metaspace] GC(20) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[14.522s][info][gc          ] GC(20) Pause Full (System.gc()) 775M->775M(6144M) 348.129ms
[14.891s][info][gc,metaspace] GC(21) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[14.891s][info][gc          ] GC(21) Pause Full (System.gc()) 775M->775M(6144M) 368.920ms
[15.238s][info][gc,metaspace] GC(22) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[15.238s][info][gc          ] GC(22) Pause Full (System.gc()) 775M->775M(6144M) 346.437ms
[15.648s][info][gc,metaspace] GC(23) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[15.648s][info][gc          ] GC(23) Pause Full (System.gc()) 775M->775M(6144M) 410.209ms
[16.013s][info][gc,metaspace] GC(24) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[16.013s][info][gc          ] GC(24) Pause Full (System.gc()) 775M->775M(6144M) 364.977ms
[16.364s][info][gc,metaspace] GC(25) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[16.364s][info][gc          ] GC(25) Pause Full (System.gc()) 775M->775M(6144M) 350.464ms
[16.782s][info][gc,metaspace] GC(26) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[16.782s][info][gc          ] GC(26) Pause Full (System.gc()) 775M->775M(6144M) 418.007ms
[17.129s][info][gc,metaspace] GC(27) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[17.129s][info][gc          ] GC(27) Pause Full (System.gc()) 775M->775M(6144M) 347.403ms
[17.486s][info][gc,metaspace] GC(28) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[17.486s][info][gc          ] GC(28) Pause Full (System.gc()) 775M->775M(6144M) 356.883ms
