Done; will start GCs... 
[248.077s][info][gc          ] GC(39) Pause Full (System.gc()) 181M->181M(4096M) 1896.509ms
[249.974s][info][gc,metaspace] GC(40) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[249.974s][info][gc          ] GC(40) Pause Full (System.gc()) 181M->181M(4096M) 1896.980ms
[251.873s][info][gc,metaspace] GC(41) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[251.873s][info][gc          ] GC(41) Pause Full (System.gc()) 181M->181M(4096M) 1898.005ms
[253.788s][info][gc,metaspace] GC(42) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[253.789s][info][gc          ] GC(42) Pause Full (System.gc()) 182M->181M(4096M) 1915.405ms
[256.349s][info][gc,metaspace] GC(43) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[256.349s][info][gc          ] GC(43) Pause Full (System.gc()) 181M->181M(4096M) 2560.087ms
[258.687s][info][gc,metaspace] GC(44) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[258.687s][info][gc          ] GC(44) Pause Full (System.gc()) 181M->181M(4096M) 2336.850ms
[260.575s][info][gc,metaspace] GC(45) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[260.576s][info][gc          ] GC(45) Pause Full (System.gc()) 181M->181M(4096M) 1888.152ms
[262.465s][info][gc,metaspace] GC(46) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[262.465s][info][gc          ] GC(46) Pause Full (System.gc()) 181M->181M(4096M) 1888.982ms
[264.346s][info][gc,metaspace] GC(47) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[264.347s][info][gc          ] GC(47) Pause Full (System.gc()) 181M->181M(4096M) 1881.072ms
[266.245s][info][gc,metaspace] GC(48) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[266.245s][info][gc          ] GC(48) Pause Full (System.gc()) 181M->181M(4096M) 1898.183ms
[268.128s][info][gc,metaspace] GC(49) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[268.128s][info][gc          ] GC(49) Pause Full (System.gc()) 181M->181M(4096M) 1882.669ms
[270.012s][info][gc,metaspace] GC(50) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[270.013s][info][gc          ] GC(50) Pause Full (System.gc()) 181M->181M(4096M) 1883.728ms
[271.902s][info][gc,metaspace] GC(51) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[271.902s][info][gc          ] GC(51) Pause Full (System.gc()) 181M->181M(4096M) 1889.408ms
