[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.436s][info][metaspace] Reserving compressed class space anywhere
[0.436s][info][gc,metaspace] CDS archive(s) not mapped
[0.436s][info][gc,metaspace] Compressed class space mapped at: 0x000000003e000000-0x00000000fe000000, reserved size: 3221225472
[0.436s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, UseKlassTable 1, narrow klass pointer bits 22, max shift 10
[0.436s][info][gc,metaspace] Narrow klass base: 0x000000003e000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 4096
Num Objects per Class: 16384
Cycles: 100
Class association: random
[38.788s][info][gc          ] GC(19) Pause Full (System.gc()) 782M->782M(6144M) 542.633ms
[39.311s][info][gc,metaspace] GC(20) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[39.312s][info][gc          ] GC(20) Pause Full (System.gc()) 782M->782M(6144M) 523.723ms
[39.816s][info][gc,metaspace] GC(21) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[39.816s][info][gc          ] GC(21) Pause Full (System.gc()) 782M->782M(6144M) 504.663ms
[40.356s][info][gc,metaspace] GC(22) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[40.356s][info][gc          ] GC(22) Pause Full (System.gc()) 782M->782M(6144M) 539.347ms
[40.859s][info][gc,metaspace] GC(23) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[40.859s][info][gc          ] GC(23) Pause Full (System.gc()) 782M->782M(6144M) 503.139ms
[41.406s][info][gc,metaspace] GC(24) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[41.406s][info][gc          ] GC(24) Pause Full (System.gc()) 782M->782M(6144M) 547.129ms
[41.955s][info][gc,metaspace] GC(25) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[41.955s][info][gc          ] GC(25) Pause Full (System.gc()) 782M->782M(6144M) 548.303ms
[42.514s][info][gc,metaspace] GC(26) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[42.514s][info][gc          ] GC(26) Pause Full (System.gc()) 782M->782M(6144M) 559.692ms
[43.061s][info][gc,metaspace] GC(27) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
