Done; will start GCs... 
[438.290s][info][gc          ] GC(83) Pause Full (System.gc()) 195M->195M(3959M) 5261.806ms
[443.552s][info][gc,metaspace] GC(84) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[443.552s][info][gc          ] GC(84) Pause Full (System.gc()) 195M->195M(3959M) 5261.397ms
[448.820s][info][gc,metaspace] GC(85) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[448.820s][info][gc          ] GC(85) Pause Full (System.gc()) 195M->195M(3959M) 5266.630ms
[454.083s][info][gc,metaspace] GC(86) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[454.083s][info][gc          ] GC(86) Pause Full (System.gc()) 195M->195M(3959M) 5262.586ms
[459.346s][info][gc,metaspace] GC(87) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[459.346s][info][gc          ] GC(87) Pause Full (System.gc()) 196M->195M(3959M) 5262.470ms
[464.605s][info][gc,metaspace] GC(88) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[464.606s][info][gc          ] GC(88) Pause Full (System.gc()) 195M->195M(3959M) 5258.621ms
[469.921s][info][gc,metaspace] GC(89) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[469.921s][info][gc          ] GC(89) Pause Full (System.gc()) 195M->195M(3959M) 5314.490ms
[475.185s][info][gc,metaspace] GC(90) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[475.185s][info][gc          ] GC(90) Pause Full (System.gc()) 195M->195M(3959M) 5263.432ms
[480.450s][info][gc,metaspace] GC(91) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[480.451s][info][gc          ] GC(91) Pause Full (System.gc()) 195M->195M(3959M) 5264.973ms
[485.718s][info][gc,metaspace] GC(92) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[485.719s][info][gc          ] GC(92) Pause Full (System.gc()) 195M->195M(3959M) 5267.145ms
