Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;1235292.0
Domain Marker;max-jOPS;8047008.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group1.TxInjector.CompositeTxInjector;Group1.Backend.CompositeBackend
3241.0;1001.1387220000001;1001.1508980000003
86508.0;5159.251946999997;5159.764312999992
382255.0;8303.705141999992;8304.045874000003
674999.0;8905.323424999951;8905.651385000092
950822.0;8907.362059999956;8907.664509000024
8483234.0;9550.490094000474;9550.710456000641
8527951.0;;1000.2688210010529
8527953.0;0.9696370009332895;
